Name,Drop Rate,Price
Fragment of the Hydra,,23.7775388889
Fragment of the Chimera,,23.7775388889
Fragment of the Phoenix,,19.94547390909
Fragment of the Minotaur,,20.0
Fragment,1,278.199987
Shaper's Touch,0.5,10.0
Voidwalker,0.2,4.0
Maven's Invitation: The Feared,0.195,20.0
Dying Sun,0.15,30.0
Echoes of Creation,0.1,5.0
Solstice Vigil,0.04,5.0
Orb of Dominance,0.03,342.399984
Starforge,0.01,260.27
Sublime Vision,0.04,216.89
Entropic Devastation,0.015,150.0
Cosmic Reliquary Key,0.01,513.599976
