Name,Drop Rate,Price
Lair of the Hydra Map,,28.0
Maze of the Minotaur Map,,28.0
Forge of the Phoenix Map,,26.0
Pit of the Chimera Map,,28.0
Maven's Invitation: The Formed,,326.08
Shaper Guardians Sextant - 3 Uses,,42.51
Shaper Guardians Sextant - 4 Uses,,50.01
Elder Guardians Sextant  - 3 Uses,,15.0
Elder Guardians Sextant - 4 Uses,,15.0
Conquerors Sextant - 3 Uses,,146.03
Conquerors Sextant - 4 Uses,,209.04
Fragments,1,22.98374125
Crescent Splinter,1,45.0
Orb of Unmaking,0.85,0.6321
Maven's Invitation: The Formed Drop,0.075,326.08
Orb of Conflict,0.25,112.5
Shaper Guardian Map,0.15,27.5
Elder Guardian Map,0.15,20.5275
Sirus Conqueror Map,0.1,70.47749999999999
Synthesised Maps,0,117.518
