Name,Drop Rate,Price
The Maven's Writ,,130.0
Elevated Sextant,1.0,0.0
Orb of Conflict,0.35,325.0
Legacy of Fury,0.35,22.3
Viridi's Veil,0.2,50.0
Arn's Anguish,0.12,20.0
Graven's Secret,0.12,30.0
Olesya's Delight,0.12,10.0
Impossible Escape,0.06,80.0
The Doppelganger,0.02,1.9
Auspicious Ambitions,0.02,1616.34
Progenesis,0.015,4993.58
Shiny Reliquary Key,0.01,0.0
Echoforge,0.01,919.87
Awakened Empower Support,0.004,105128.0
Awakened Enhance Support,0.004,0.0
Awakened Enlighten Support,0.002,197209.67
Awakened Added Chaos Damage Support,0.0096,52.8
Awakened Added Lightning Damage Support,0.0096,100.0
Awakened Controlled Destruction Support,0.0096,76.5
Awakened Elemental Focus Support,0.0096,170.83
Awakened Increased Area of Effect Support,0.0078,1103.84
Awakened Lightning Penetration Support,0.0078,60.0
Awakened Minion Damage Support,0.0078,131.41
Awakened Unbound Ailments Support,0.0078,125.13
Awakened Blasphemy Support,0.0042,95.1
Awakened Cast While Channelling Support,0.0042,131.41
Awakened Hextouch Support,0.0042,123.0
Awakened Spell Echo Support,0.0042,20499.96
Awakened Spell Cascade Support,0.0042,604.49
Awakened Unleash Support,0.0024,262.82
Awakened Added Cold Damage Support,0.0096,51.0
Awakened Swift Affliction Support,0.0096,131.41
Awakened Vicious Projectiles Support,0.0096,75.5
Awakened Cast On Critical Strike Support,0.0078,657.05
Awakened Cold Penetration Support,0.0078,50.0
Awakened Deadly Ailments Support,0.0078,60.0
Awakened Void Manipulation Support,0.0078,162.95
Awakened Chain Support,0.0042,655.47
Awakened Fork Support,0.0042,2891.02
Awakened Greater Multiple Projectiles Support,0.0042,21354.12
Awakened Arrow Nova Support,0.0024,131.41
Awakened Burning Damage Support,0.0096,131.41
Awakened Brutality Support,0.0096,68.8
Awakened Melee Physical Damage Support,0.0096,260.72
Awakened Melee Splash Support,0.0096,50.0
Awakened Added Fire Damage Support,0.0078,70.0
Awakened Elemental Damage with Attacks Support,0.0078,749.04
Awakened Fire Penetration Support,0.0078,60.0
Awakened Ancestral Call Support,0.0042,314.26
Awakened Generosity Support,0.0042,260.19
Awakened Multistrike Support,0.0024,36072.04
